Date,BusID,StopFrom,StopTo,PassengerCount,Distance,Duration
04-03-2023,4,Medicine,Stop E,3472,95.25202865,67
05-03-2023,7,People,Stop D,23957,53.30886069,38
06-03-2023,1,Medicine,Stop A,6257,96.56914366,49
07-03-2023,4,Shelter,Stop C,3260,23.01868187,136
08-03-2023,10,Medicine,Stop D,11483,57.9637095,152
09-03-2023,6,Food,Stop F,19232,32.09865676,79
10-03-2023,2,Medicine,Stop F,10509,43.00877729,90
11-03-2023,6,Resuce Equipment,Stop A,24241,52.36938795,45
12-03-2023,2,People,Stop F,12310,77.1490415,183
13-03-2023,2,Shelter,Stop B,4508,19.82669739,66
14-03-2023,5,Medicine Equipment,Stop A,21707,85.81895886,18
15-03-2023,2,Shelter,Stop B,5666,8.992436863,57
16-03-2023,6,Resuce Equipment,Stop B,4272,1.909118753,40
17-03-2023,3,Medicine,Stop E,10840,4.231918207,183
18-03-2023,7,Shelter,Stop C,9488,57.24398272,79
19-03-2023,3,Resuce Equipment,Stop D,4669,97.57230869,138
20-03-2023,7,Food,Stop A,2028,65.51687055,141
21-03-2023,1,Shelter,Stop B,7165,53.27654507,185
22-03-2023,3,Food,Stop B,11510,80.71585474,24
23-03-2023,2,Medicine,Stop C,13339,32.06919375,109
24-03-2023,8,Resuce Equipment,Stop B,18003,10.41868536,172
25-03-2023,1,Resuce Equipment,Stop A,25070,54.76750264,37
26-03-2023,7,Medicine,Stop D,16184,34.42180921,161
27-03-2023,6,Medicine,Stop D,13528,19.93033403,132
28-03-2023,5,Food,Stop E,21781,1.090521663,148
29-03-2023,10,Resuce Equipment,Stop C,21762,84.42238971,7
30-03-2023,6,Medicine Equipment,Stop D,7421,40.52789786,178
31-03-2023,9,Medicine,Stop E,1907,8.293161967,78
01-04-2023,1,Medicine Equipment,Stop D,23566,36.44595864,82
02-04-2023,2,People,Stop E,15543,56.97968231,23
03-04-2023,8,Shelter,Stop E,8783,38.08735039,128
04-04-2023,10,Medicine,Stop D,18353,19.85388237,59
05-04-2023,8,Shelter,Stop B,5280,67.16556372,158
06-04-2023,10,Medicine Equipment,Stop C,21863,79.04682883,170
07-04-2023,10,Medicine,Stop E,13308,47.29446992,120
08-04-2023,10,Resuce Equipment,Stop C,3153,70.88495924,72
09-04-2023,9,Medicine,Stop F,9292,54.33394046,47
10-04-2023,1,Resuce Equipment,Stop D,7404,51.18423589,9
11-04-2023,5,People,Stop C,2645,47.99607954,162
12-04-2023,6,Medicine Equipment,Stop C,2941,99.10685986,68
13-04-2023,3,Food,Stop E,8708,20.00922505,18
14-04-2023,6,Resuce Equipment,Stop C,18719,78.23738694,145
15-04-2023,2,Medicine Equipment,Stop C,21496,64.0465744,25
16-04-2023,7,Shelter,Stop D,7440,81.36269047,185
17-04-2023,6,Medicine Equipment,Stop D,9101,35.35884332,142
18-04-2023,4,Resuce Equipment,Stop C,4899,53.75577281,58
19-04-2023,10,Food,Stop B,17565,43.3383585,30
20-04-2023,10,Food,Stop B,15882,56.66496229,180
21-04-2023,2,Medicine Equipment,Stop B,11013,23.01441063,128
22-04-2023,8,Medicine,Stop A,6706,41.97315397,67
23-04-2023,6,Medicine Equipment,Stop C,11441,33.99632044,104
24-04-2023,4,Food,Stop F,22973,67.17754106,118
25-04-2023,3,Resuce Equipment,Stop E,9562,93.35013384,133
26-04-2023,2,People,Stop C,19968,38.45364398,121
27-04-2023,6,Medicine,Stop E,10726,68.55874408,126
28-04-2023,5,Medicine Equipment,Stop C,9498,45.1471258,137
29-04-2023,8,Medicine,Stop F,5957,14.46809661,54
30-04-2023,1,Resuce Equipment,Stop C,21036,33.73588763,89
01-05-2023,2,Food,Stop E,2908,61.19197131,19
02-05-2023,6,Medicine Equipment,Stop A,4686,13.21934676,150
03-05-2023,5,People,Stop E,21642,34.17223631,59
04-05-2023,1,Food,Stop F,20596,50.54734276,175
05-05-2023,10,Shelter,Stop A,9548,40.71726619,148
06-05-2023,3,Food,Stop F,13376,93.23901685,31
07-05-2023,1,Medicine Equipment,Stop F,25085,96.4418463,176
08-05-2023,9,Resuce Equipment,Stop A,23839,72.8210777,129
09-05-2023,2,Medicine Equipment,Stop B,11474,26.5228387,42
10-05-2023,2,Food,Stop C,8467,12.66126882,66
11-05-2023,3,Resuce Equipment,Stop B,3153,1.698714551,26
12-05-2023,4,Shelter,Stop C,5118,3.348276839,59
13-05-2023,3,Medicine,Stop A,13854,3.055434261,127
14-05-2023,10,Medicine,Stop E,21607,97.57163993,110
15-05-2023,5,Resuce Equipment,Stop B,14193,96.96024126,121
16-05-2023,10,Medicine,Stop A,25157,96.95789524,38
17-05-2023,1,Food,Stop F,9389,7.461999686,14
18-05-2023,1,Medicine Equipment,Stop D,16431,20.91817509,39
19-05-2023,5,Food,Stop E,15489,91.86042638,95
20-05-2023,4,Medicine,Stop E,22505,87.21714808,68
21-05-2023,2,Medicine,Stop B,21182,32.18699695,68
22-05-2023,10,Resuce Equipment,Stop D,20643,32.68172411,148
23-05-2023,7,Shelter,Stop C,8512,16.63213222,5
24-05-2023,7,Shelter,Stop B,7519,75.11570062,137
25-05-2023,2,Resuce Equipment,Stop B,20009,4.706359905,97
26-05-2023,10,Shelter,Stop F,10398,84.11709128,163
27-05-2023,8,Shelter,Stop B,6326,29.82265746,23
28-05-2023,9,Resuce Equipment,Stop B,15487,94.76474174,7
29-05-2023,6,Resuce Equipment,Stop E,2869,46.3755942,54
30-05-2023,7,Medicine Equipment,Stop D,13856,37.45236874,166
31-05-2023,10,Shelter,Stop F,19867,64.65763664,117
01-06-2023,10,Medicine,Stop E,1913,6.663159119,177
02-06-2023,10,People,Stop E,6754,61.87166103,99
03-06-2023,1,Medicine,Stop E,11285,63.70045888,171
04-06-2023,3,Medicine Equipment,Stop A,8541,37.81032158,9
05-06-2023,10,Resuce Equipment,Stop B,21498,24.68551329,169
06-06-2023,5,Resuce Equipment,Stop A,9828,79.59984194,60
07-06-2023,4,Medicine Equipment,Stop F,19718,64.44924107,84
08-06-2023,1,Medicine,Stop C,7536,29.98117312,82
09-06-2023,7,Resuce Equipment,Stop D,3768,81.83996251,35
10-06-2023,9,Resuce Equipment,Stop C,3965,75.00233426,86
11-06-2023,9,Medicine Equipment,Stop C,23328,98.56088454,11
12-06-2023,4,Medicine Equipment,Stop E,7818,57.37502014,107
13-06-2023,6,Medicine,Stop F,20729,22.58903063,77
14-06-2023,8,Medicine,Stop B,8785,27.60726491,131
15-06-2023,2,Resuce Equipment,Stop E,18106,31.06855651,188
16-06-2023,5,Shelter,Stop D,5535,3.777087877,144
17-06-2023,10,People,Stop C,5596,89.67018308,17
18-06-2023,3,People,Stop B,23091,89.44264627,94
19-06-2023,9,Food,Stop A,8749,99.938793,150
20-06-2023,6,Medicine,Stop A,18659,33.04005942,164
21-06-2023,8,Food,Stop E,8036,43.75138959,189
22-06-2023,2,Food,Stop B,20501,14.1455945,137
23-06-2023,7,Food,Stop B,2858,39.47827026,117
24-06-2023,3,Food,Stop F,22804,30.07578352,77
25-06-2023,9,Shelter,Stop D,6704,98.94781981,149
26-06-2023,4,Medicine,Stop D,15132,12.87080007,149
27-06-2023,10,People,Stop D,13802,26.67589502,184
28-06-2023,2,Shelter,Stop C,12348,2.059908399,60
29-06-2023,9,Medicine,Stop F,5995,64.49852169,31
30-06-2023,3,Medicine,Stop B,23020,48.31363226,104
01-07-2023,5,Medicine,Stop C,11306,17.51582712,33
02-07-2023,2,Resuce Equipment,Stop E,20829,13.04227124,8
03-07-2023,5,Resuce Equipment,Stop B,16332,84.62030982,14
04-07-2023,4,Food,Stop C,8459,85.15543873,121
05-07-2023,9,Medicine,Stop E,5578,36.61763367,49
06-07-2023,5,Medicine,Stop D,4147,85.17189851,193
07-07-2023,6,Shelter,Stop A,18617,35.26473447,148
08-07-2023,3,Shelter,Stop A,8536,43.64275345,185
09-07-2023,9,Medicine Equipment,Stop E,4629,50.04124834,69
10-07-2023,5,Shelter,Stop F,6330,74.02153185,150
11-07-2023,6,Medicine Equipment,Stop F,13067,44.41912633,119
12-07-2023,6,People,Stop F,14193,10.53759813,36
13-07-2023,9,Shelter,Stop D,5503,28.43851233,129
14-07-2023,6,Food,Stop D,6096,49.22438668,29
15-07-2023,4,Resuce Equipment,Stop B,10735,8.079106741,68
16-07-2023,8,Resuce Equipment,Stop A,18895,93.8659116,163
17-07-2023,5,Shelter,Stop F,23667,47.394446,35
18-07-2023,3,People,Stop B,9099,98.41127768,101
19-07-2023,7,Medicine,Stop F,19642,25.15287751,61
20-07-2023,8,Medicine,Stop F,20280,79.24377824,164
21-07-2023,9,Shelter,Stop C,22012,14.77246105,166
22-07-2023,2,Resuce Equipment,Stop D,3135,83.68858947,36
23-07-2023,1,Shelter,Stop A,22856,63.36699513,113
24-07-2023,10,Resuce Equipment,Stop C,22472,64.00896722,190
25-07-2023,4,Shelter,Stop E,20954,34.71876989,44
26-07-2023,4,Food,Stop E,20950,34.05654497,26
27-07-2023,7,Medicine,Stop A,9450,32.31272751,125
28-07-2023,4,Medicine Equipment,Stop E,13507,58.44309592,90
29-07-2023,8,Resuce Equipment,Stop D,17136,72.46269214,89
30-07-2023,10,Medicine,Stop B,17091,51.90351318,28
31-07-2023,5,Medicine Equipment,Stop C,15541,8.749945071,122
01-08-2023,6,Resuce Equipment,Stop D,18082,71.92955479,173
02-08-2023,9,Food,Stop C,23833,65.21869206,51
03-08-2023,6,Medicine Equipment,Stop D,10725,79.14715141,148
04-08-2023,5,Resuce Equipment,Stop D,20332,35.03755545,128
05-08-2023,10,People,Stop C,9062,61.77536695,83
06-08-2023,10,Shelter,Stop A,21622,10.99615674,178
07-08-2023,5,Medicine,Stop D,12008,68.95975671,73
08-08-2023,2,Food,Stop B,20061,66.58316373,76
09-08-2023,5,Food,Stop F,18906,87.10250783,54
10-08-2023,4,Medicine Equipment,Stop B,14465,74.6675028,157
11-08-2023,9,Resuce Equipment,Stop C,13434,51.9487091,138
12-08-2023,1,Resuce Equipment,Stop C,7773,97.31265153,166
13-08-2023,5,Resuce Equipment,Stop D,24836,51.73396938,129
14-08-2023,2,Food,Stop D,13800,5.486389047,169
15-08-2023,6,People,Stop B,22997,31.70792819,81
16-08-2023,1,Food,Stop E,14769,76.77310368,136
17-08-2023,8,Resuce Equipment,Stop D,13882,26.86110063,151
18-08-2023,4,Food,Stop C,12960,13.1398624,80
19-08-2023,3,Medicine Equipment,Stop B,4345,55.36192899,80
20-08-2023,1,Food,Stop C,18017,41.61098075,59
21-08-2023,1,Medicine,Stop A,15207,75.439609,136
22-08-2023,10,Medicine Equipment,Stop F,1403,30.01467658,75
23-08-2023,6,Medicine Equipment,Stop A,21942,44.37099221,14
24-08-2023,8,Medicine,Stop B,22157,2.471568077,46
25-08-2023,10,Food,Stop E,10441,78.95705402,102
26-08-2023,6,Resuce Equipment,Stop D,20829,90.07741715,33
27-08-2023,5,Medicine Equipment,Stop C,6258,71.91785248,28
28-08-2023,9,Shelter,Stop C,20863,30.52787584,161
29-08-2023,9,Medicine Equipment,Stop D,7388,20.59202551,101
30-08-2023,7,People,Stop B,9865,8.55186696,170
31-08-2023,2,Medicine Equipment,Stop E,10991,25.16019794,101
01-09-2023,9,Medicine,Stop B,21187,94.09185001,65
02-09-2023,5,Medicine Equipment,Stop C,17071,11.59766128,113
03-09-2023,2,Food,Stop A,12716,68.94428502,24
04-09-2023,5,Resuce Equipment,Stop A,16761,2.827462674,95
05-09-2023,3,Food,Stop F,14485,84.05301641,184
06-09-2023,3,Medicine Equipment,Stop F,6609,74.7237261,26
07-09-2023,5,Food,Stop A,9186,13.72211441,140
08-09-2023,2,Medicine,Stop B,22358,95.82237237,166
09-09-2023,6,Medicine Equipment,Stop F,16827,70.94997114,38
10-09-2023,4,Medicine Equipment,Stop C,14939,66.66828003,38
11-09-2023,5,Food,Stop C,20484,68.54689799,49
12-09-2023,10,Medicine Equipment,Stop D,5168,88.75933485,70
13-09-2023,10,Medicine,Stop E,14958,46.42546735,179
14-09-2023,2,Medicine Equipment,Stop D,6265,97.51878657,144
15-09-2023,8,Medicine Equipment,Stop A,11697,94.23999724,33
16-09-2023,9,Medicine Equipment,Stop C,5669,74.77451614,85
17-09-2023,2,Resuce Equipment,Stop B,6271,67.88051987,41
18-09-2023,2,Shelter,Stop E,4378,12.01268895,29
19-09-2023,7,Shelter,Stop E,4202,71.61503823,47
20-09-2023,7,Medicine Equipment,Stop D,9607,4.021643819,128
21-09-2023,9,Medicine Equipment,Stop B,12328,11.16790599,85
22-09-2023,4,Resuce Equipment,Stop F,19125,81.38715927,137
23-09-2023,8,People,Stop C,10238,53.61609142,109
24-09-2023,3,Resuce Equipment,Stop A,10769,69.47274396,51
25-09-2023,7,Medicine,Stop E,23507,15.47927211,112
26-09-2023,1,Medicine,Stop D,9366,65.74585351,144
27-09-2023,6,Medicine Equipment,Stop A,24527,64.09075266,24
28-09-2023,10,Medicine,Stop D,20946,36.59120622,167
29-09-2023,4,People,Stop A,18680,7.916752909,56
30-09-2023,9,Shelter,Stop A,20305,35.41662415,136
01-10-2023,4,People,Stop B,22212,20.02396157,168
02-10-2023,4,Food,Stop F,1943,62.48829265,121
03-10-2023,1,Resuce Equipment,Stop F,4714,55.58880215,13
04-10-2023,10,Shelter,Stop B,5640,99.97470424,177
05-10-2023,6,Shelter,Stop A,10093,65.30445627,55
06-10-2023,3,Resuce Equipment,Stop E,23828,73.9089381,61
07-10-2023,7,People,Stop C,14141,19.63443654,53
08-10-2023,8,Medicine Equipment,Stop F,9699,93.12243273,19
09-10-2023,5,Medicine Equipment,Stop F,16842,23.4296919,97
10-10-2023,5,People,Stop E,4986,34.27943812,167
11-10-2023,7,Resuce Equipment,Stop C,8778,27.10550244,27
12-10-2023,7,Food,Stop E,17529,24.14590445,72
13-10-2023,9,Medicine Equipment,Stop D,10027,76.09288401,92
14-10-2023,1,Resuce Equipment,Stop B,4274,71.51805979,119
15-10-2023,7,Medicine,Stop F,7414,77.07214421,175
16-10-2023,1,People,Stop F,15751,98.94072788,181
17-10-2023,1,Resuce Equipment,Stop B,1524,94.90703125,37
18-10-2023,5,Shelter,Stop B,6346,59.68901104,10
19-10-2023,1,Medicine Equipment,Stop F,11259,35.62520144,114
20-10-2023,8,Medicine Equipment,Stop B,22891,62.24336484,67
21-10-2023,9,Medicine Equipment,Stop E,10951,32.09650194,145
22-10-2023,1,Shelter,Stop E,5404,60.30378238,148
23-10-2023,10,Food,Stop E,22815,17.54449442,32
24-10-2023,4,Medicine,Stop C,13631,63.6674405,56
25-10-2023,8,People,Stop E,14376,35.26028077,29
26-10-2023,9,Resuce Equipment,Stop E,18801,36.37253777,196
27-10-2023,1,Medicine Equipment,Stop B,15292,48.46450078,132
28-10-2023,6,Food,Stop F,16069,10.19073001,56
29-10-2023,10,Shelter,Stop F,22909,55.27832876,57
30-10-2023,9,People,Stop C,15087,47.81531274,5
31-10-2023,4,Resuce Equipment,Stop C,11377,94.50487829,158
01-11-2023,7,Food,Stop C,10746,91.42163132,144
02-11-2023,10,Food,Stop C,22340,82.01123653,83
03-11-2023,6,Shelter,Stop B,15567,50.92881416,44
04-11-2023,5,Food,Stop D,18198,36.78318926,85
05-11-2023,8,Medicine,Stop A,23520,94.28653392,194
06-11-2023,10,Resuce Equipment,Stop E,23371,44.21671594,174
07-11-2023,10,Resuce Equipment,Stop F,11403,89.92318426,137
08-11-2023,5,Food,Stop C,22207,78.63533688,29
09-11-2023,1,Resuce Equipment,Stop E,13128,93.33288963,157
10-11-2023,1,Shelter,Stop B,12845,3.662161868,67
11-11-2023,4,Shelter,Stop E,12039,58.39206769,76
12-11-2023,10,People,Stop C,14795,16.34918954,190
13-11-2023,3,Medicine Equipment,Stop D,16301,4.094363457,122
14-11-2023,2,Food,Stop E,2935,94.7081297,163
15-11-2023,2,Resuce Equipment,Stop D,17102,35.56554371,87
16-11-2023,4,People,Stop E,22341,98.76579093,25
17-11-2023,7,People,Stop E,20521,95.13583574,19
18-11-2023,4,Medicine,Stop E,11385,18.48991727,197
19-11-2023,5,Food,Stop F,10885,22.14059446,112
20-11-2023,3,Shelter,Stop F,12478,81.08295713,29
21-11-2023,9,Medicine,Stop F,20870,98.0649167,144
22-11-2023,7,Shelter,Stop D,17076,5.346359424,182
23-11-2023,7,Medicine,Stop A,1703,47.52308814,175
24-11-2023,1,Shelter,Stop D,21505,39.53242255,149
25-11-2023,6,People,Stop D,19961,97.24183258,171
26-11-2023,7,Shelter,Stop D,23450,72.48223101,99
27-11-2023,5,Shelter,Stop B,16766,96.92772538,20
28-11-2023,5,Medicine Equipment,Stop B,16863,66.30291085,155
29-11-2023,7,People,Stop D,23109,34.29564948,84
30-11-2023,1,Medicine,Stop D,6777,92.98950779,197
01-12-2023,1,People,Stop C,21391,27.24575629,136
02-12-2023,1,People,Stop B,24459,67.59341044,174
03-12-2023,1,Shelter,Stop F,22322,20.79912029,194
04-12-2023,7,Medicine,Stop A,5088,98.92081379,26
05-12-2023,2,Shelter,Stop C,1435,84.78307577,128
06-12-2023,9,People,Stop F,6317,72.27568854,146
07-12-2023,7,Food,Stop F,4785,64.94504361,135
08-12-2023,4,Resuce Equipment,Stop E,4054,41.71376125,77
09-12-2023,9,Resuce Equipment,Stop F,16623,62.61051695,194
10-12-2023,9,Food,Stop E,4343,44.64494051,8
11-12-2023,9,Medicine Equipment,Stop C,13666,72.24620478,118
12-12-2023,5,Medicine,Stop C,21951,69.08908674,145
13-12-2023,8,People,Stop B,5725,52.03574422,199
14-12-2023,1,Resuce Equipment,Stop A,18532,7.808533593,62
15-12-2023,5,Medicine Equipment,Stop B,18746,89.62249086,96
16-12-2023,8,Medicine Equipment,Stop F,2107,49.57886503,195
17-12-2023,10,Shelter,Stop F,25130,47.6092542,180
18-12-2023,10,Resuce Equipment,Stop B,12488,67.00382926,79
19-12-2023,2,Medicine Equipment,Stop D,5886,23.25563525,41
20-12-2023,9,People,Stop A,6790,30.92085621,46
21-12-2023,2,Shelter,Stop B,16777,59.68411909,74
22-12-2023,5,Shelter,Stop D,14662,28.63415633,163
23-12-2023,10,Shelter,Stop C,17106,53.26173752,193
24-12-2023,10,Resuce Equipment,Stop E,5484,88.38553345,98
25-12-2023,7,Medicine Equipment,Stop B,11746,99.30656588,125
26-12-2023,4,People,Stop E,16768,38.59944784,47
27-12-2023,7,Medicine Equipment,Stop C,16207,66.54238886,54
28-12-2023,8,Medicine Equipment,Stop B,11246,97.15489294,6
29-12-2023,4,Shelter,Stop D,21183,30.70344082,191
30-12-2023,7,Resuce Equipment,Stop E,20932,75.444667,145
31-12-2023,5,Shelter,Stop C,18571,16.88176579,134
01-01-2024,2,Food,Stop E,8479,14.92003075,24
02-01-2024,3,Shelter,Stop A,18360,20.10746458,9
03-01-2024,8,Medicine Equipment,Stop D,3678,44.61276231,167
04-01-2024,9,Resuce Equipment,Stop A,18527,21.28473246,185
05-01-2024,1,Medicine Equipment,Stop A,1776,24.60516051,147
06-01-2024,9,Food,Stop B,23175,89.24406223,53
07-01-2024,10,Medicine,Stop B,6474,36.33389795,169
08-01-2024,7,Food,Stop A,4801,63.37919962,33
09-01-2024,10,Resuce Equipment,Stop E,14367,79.76713042,70
10-01-2024,7,Resuce Equipment,Stop C,22395,31.68955445,26
11-01-2024,4,Resuce Equipment,Stop E,2698,32.44427088,127
12-01-2024,8,Food,Stop B,16338,97.37160124,33
13-01-2024,5,People,Stop B,22455,96.87323815,186
14-01-2024,7,People,Stop F,15789,61.28227471,46
15-01-2024,8,Medicine Equipment,Stop B,12426,59.13780696,191
16-01-2024,6,Shelter,Stop A,4963,90.78731715,23
17-01-2024,2,Food,Stop F,19636,20.83457261,53
18-01-2024,2,Resuce Equipment,Stop A,20511,57.5655409,179
19-01-2024,5,Shelter,Stop E,10531,97.28543194,81
20-01-2024,9,Shelter,Stop A,2047,60.52299728,93
21-01-2024,5,Shelter,Stop C,22005,35.40619424,27
22-01-2024,1,Medicine,Stop F,5775,89.01904852,81
23-01-2024,3,Shelter,Stop B,2333,31.18748869,145
24-01-2024,7,Resuce Equipment,Stop A,3212,49.86928619,166
25-01-2024,10,Resuce Equipment,Stop D,14920,98.17674567,36
26-01-2024,7,People,Stop C,9622,5.065162554,141
27-01-2024,3,Medicine,Stop C,1328,88.9634943,156
28-01-2024,5,People,Stop F,26030,1.625610658,155
29-01-2024,10,Food,Stop E,6374,5.655249184,113
30-01-2024,7,Food,Stop D,24579,71.88801252,169
31-01-2024,1,Shelter,Stop D,22567,6.546747488,187
01-02-2024,10,Food,Stop A,15774,81.24051077,99
02-02-2024,5,Resuce Equipment,Stop C,5719,70.26057393,128
03-02-2024,3,Food,Stop B,15528,5.387876768,191
04-02-2024,9,Shelter,Stop E,23807,4.748592873,81
05-02-2024,9,Food,Stop D,17473,77.19803707,11
06-02-2024,6,Shelter,Stop D,6424,80.64148585,153
07-02-2024,2,People,Stop E,22140,68.70503668,191
08-02-2024,5,Shelter,Stop A,15199,44.95798907,38
09-02-2024,6,Resuce Equipment,Stop C,7197,49.51381641,102
10-02-2024,7,Medicine,Stop E,10409,51.47200951,21
11-02-2024,2,People,Stop D,14823,32.41976793,40
12-02-2024,2,Resuce Equipment,Stop C,17714,92.39612935,54
13-02-2024,2,Resuce Equipment,Stop D,3775,40.40238967,109
14-02-2024,8,People,Stop A,17764,14.28970103,143
15-02-2024,6,Shelter,Stop E,22203,51.82086286,195
16-02-2024,7,People,Stop A,3127,81.74456203,84
17-02-2024,10,Shelter,Stop C,7583,32.28815729,14
18-02-2024,6,Medicine,Stop C,5906,37.17901368,199
19-02-2024,3,People,Stop C,13211,83.37916061,181
20-02-2024,8,People,Stop F,3321,57.93837357,20
21-02-2024,2,Resuce Equipment,Stop E,11398,41.20877285,47
22-02-2024,9,People,Stop C,15535,63.40546794,156
23-02-2024,7,Food,Stop D,21320,27.34890752,182
24-02-2024,5,People,Stop B,7774,8.866225593,56
25-02-2024,7,Shelter,Stop E,8012,63.6820965,39
26-02-2024,5,Medicine Equipment,Stop A,8065,74.43023619,114
27-02-2024,7,People,Stop D,18726,72.26258521,31
28-02-2024,2,People,Stop C,17803,67.22105216,141
29-02-2024,3,People,Stop B,14978,54.7425919,177
01-03-2024,1,Shelter,Stop B,22343,57.45656965,80
02-03-2024,3,Medicine Equipment,Stop C,23045,95.09755804,118
03-03-2024,8,Medicine,Stop B,8077,38.12331531,39
04-03-2024,9,Medicine,Stop C,3862,9.054855416,98
05-03-2024,4,People,Stop A,22306,75.41421158,105
06-03-2024,4,Medicine,Stop B,12645,27.15543803,36
07-03-2024,3,Medicine Equipment,Stop F,24376,10.7408664,152
08-03-2024,9,Medicine Equipment,Stop C,9274,5.158892569,22
09-03-2024,5,Food,Stop F,18850,95.71741371,112
10-03-2024,4,Medicine Equipment,Stop A,21747,36.33488284,85
11-03-2024,8,Medicine,Stop D,2244,46.21411841,190
12-03-2024,4,Resuce Equipment,Stop A,11833,96.89710762,88
13-03-2024,8,Medicine Equipment,Stop D,23248,1.527810185,65
14-03-2024,8,Medicine Equipment,Stop A,19561,62.15772068,118
15-03-2024,10,Medicine Equipment,Stop F,16221,98.39514291,188
16-03-2024,9,Medicine,Stop C,11674,41.5869562,181
17-03-2024,4,Medicine,Stop A,16945,32.76004425,128
18-03-2024,6,Resuce Equipment,Stop B,3965,46.5118378,185
19-03-2024,6,Food,Stop F,25290,90.0941278,198
20-03-2024,6,Shelter,Stop B,22894,23.93897782,154
21-03-2024,5,Resuce Equipment,Stop F,15018,27.97650238,85
22-03-2024,9,Resuce Equipment,Stop E,3412,1.769726468,15
23-03-2024,10,People,Stop A,15391,21.53483947,157
24-03-2024,5,Medicine Equipment,Stop C,21261,81.2880688,29
25-03-2024,4,Shelter,Stop C,18938,72.58563319,69
26-03-2024,4,Resuce Equipment,Stop A,12344,11.60854576,83
27-03-2024,4,Food,Stop F,2904,50.63431009,107
